iter	RMSE
0	95.94023582
1	93.74809234
2	91.89105578
3	90.05246482
4	88.28069768
5	86.5203241
6	84.66198986
7	82.78586699
8	81.08551319
9	79.28934661
10	77.785196
11	75.89774882
12	74.17986571
13	72.78894155
14	71.17137263
15	69.84669478
16	68.45767613
17	67.07723298
18	65.78867064
19	64.38956348
20	63.07604675
21	61.86578292
22	60.55275561
23	59.24840823
24	58.13143673
25	57.01408371
26	55.80367622
27	54.73890859
28	54.0256742
29	52.91745341
30	51.98065377
31	50.88513868
32	49.93421637
33	48.82133884
34	47.93220583
35	46.99565896
36	46.09799324
37	45.18552431
38	44.30712342
39	43.51963327
40	42.69597644
41	41.8580843
42	41.01196187
43	40.23041779
44	39.49198378
45	38.77180152
46	37.88563315
47	37.1358755
48	36.39320693
49	35.94783831
50	35.31053012
51	34.70641027
52	34.11707997
53	33.37184312
54	32.71886298
55	32.16836755
56	31.79783635
57	31.28842883
58	30.65757477
59	30.20411604
60	29.60536138
61	29.04326565
62	28.50829501
63	27.92070614
64	27.39226667
65	26.89719775
66	26.38359486
67	26.08432998
68	25.61573164
69	25.17908481
70	24.75490898
71	24.48937371
72	24.07989494
73	23.79831782
74	23.37930641
75	23.10038047
76	22.66046561
77	22.26435577
78	21.88880674
79	21.48183209
80	21.21032725
81	20.89200629
82	20.56628295
83	20.17519384
84	19.9492943
85	19.59312653
86	19.38988927
87	19.09445771
88	18.79706197
89	18.45929486
90	18.16169519
91	17.99783733
92	17.81614327
93	17.64771649
94	17.36022241
95	17.08257281
96	16.82696585
97	16.54930561
98	16.39224103
99	16.23676581
100	16.08519028
101	15.88676407
102	15.65387609
103	15.37372201
104	15.24594943
105	15.10432718
106	14.84247586
107	14.58367256
108	14.3211968
109	14.0742614
110	13.95395025
111	13.8187163
112	13.59221747
113	13.47160831
114	13.34646403
115	13.23069126
116	13.08563787
117	12.98504982
118	12.75747193
119	12.65110399
120	12.55371636
121	12.45467135
122	12.35039605
123	12.25631159
124	12.16000283
125	12.05355681
126	11.95817698
127	11.86828681
128	11.77690042
129	11.68957435
130	11.60197612
131	11.51967788
132	11.30778182
133	11.22660435
134	11.13033161
135	11.06479219
136	10.98831861
137	10.91560344
138	10.84979516
139	10.78114401
140	10.70711455
141	10.64430965
142	10.57769973
143	10.38957444
144	10.32769169
145	10.25722206
146	10.19757732
147	10.13352086
148	10.06939398
149	10.01245611
150	9.956070435
151	9.745370717
152	9.691077043
153	9.643395235
154	9.503994763
155	9.450453818
156	9.393065498
157	9.335112612
158	9.286957786
159	9.236361242
160	9.189785003
161	9.140435605
162	8.958810076
163	8.796039788
164	8.749037082
165	8.695119739
166	8.648370871
167	8.469124203
168	8.424698521
169	8.381458429
170	8.245198722
171	8.203570916
172	8.045222667
173	7.996528925
174	7.957333424
175	7.817557116
176	7.695716959
177	7.65793748
178	7.62177922
179	7.57623395
180	7.539890696
181	7.502091355
182	7.465047249
183	7.34001202
184	7.303979261
185	7.164055257
186	7.12759815
187	7.096226517
188	6.959730801
189	6.924897265
190	6.893924255
191	6.77233614
192	6.742261734
193	6.626157609
194	6.596977142
195	6.568398884
196	6.45708543
197	6.429379277
198	6.40133722
199	6.286239728
