iter	Passed	Remaining
0	0	139
1	1	151
2	2	151
3	3	150
4	3	146
5	4	148
6	5	158
7	6	160
8	7	162
9	8	160
10	9	164
11	10	167
12	11	169
13	12	169
14	13	170
15	14	165
16	15	165
17	16	164
18	17	164
19	18	162
20	19	162
21	19	160
22	20	159
23	21	157
24	22	156
25	23	155
26	24	155
27	25	153
28	25	152
29	26	151
30	27	150
31	28	148
32	29	148
33	30	147
34	31	147
35	32	146
36	33	146
37	34	145
38	35	144
39	36	144
40	36	143
41	37	142
42	38	141
43	39	141
44	40	140
45	41	140
46	42	139
47	43	139
48	44	138
49	45	137
50	46	136
51	47	135
52	48	134
53	49	134
54	50	132
55	51	131
56	51	130
57	53	129
58	53	128
59	54	127
60	55	126
61	56	125
62	57	125
63	58	123
64	59	122
65	60	122
66	61	121
67	62	120
68	62	119
69	63	118
70	64	117
71	65	116
72	66	115
73	67	114
74	68	113
75	69	113
76	70	112
77	71	111
78	72	110
79	73	109
80	74	108
81	75	108
82	76	107
83	77	106
84	78	105
85	79	104
86	80	104
87	81	103
88	82	102
89	83	101
90	84	100
91	85	99
92	86	98
93	87	98
94	88	97
95	88	96
96	89	95
97	90	94
98	91	93
99	92	92
100	93	91
101	94	90
102	95	89
103	96	88
104	96	87
105	97	86
106	98	85
107	99	84
108	100	83
109	101	82
110	102	81
111	102	80
112	103	79
113	104	78
114	105	77
115	106	76
116	107	75
117	107	74
118	108	74
119	109	73
120	110	72
121	111	71
122	112	70
123	112	69
124	113	68
125	114	67
126	115	66
127	116	65
128	117	64
129	118	63
130	118	62
131	119	61
132	120	60
133	121	59
134	122	58
135	122	57
136	123	56
137	124	55
138	125	54
139	126	54
140	127	53
141	128	52
142	128	51
143	129	50
144	130	49
145	131	48
146	132	47
147	133	46
148	133	45
149	134	44
150	135	44
151	136	43
152	137	42
153	137	41
154	138	40
155	139	39
156	140	38
157	141	37
158	141	36
159	142	35
160	143	34
161	144	33
162	145	32
163	145	32
164	146	31
165	147	30
166	148	29
167	149	28
168	150	27
169	151	26
170	152	25
171	152	24
172	153	23
173	154	23
174	155	22
175	156	21
176	157	20
177	157	19
178	158	18
179	159	17
180	160	16
181	161	15
182	162	15
183	162	14
184	163	13
185	164	12
186	165	11
187	166	10
188	167	9
189	167	8
190	168	7
191	169	7
192	170	6
193	171	5
194	172	4
195	173	3
196	173	2
197	174	1
198	175	0
199	176	0
