iter	RMSE
0	96.37186566
1	94.51740998
2	92.66165191
3	91.01425165
4	88.99967876
5	87.16562156
6	85.52822601
7	83.99055707
8	82.4939755
9	81.0559663
10	79.20083069
11	77.7192969
12	76.25620084
13	74.79516867
14	73.35677621
15	71.97394503
16	70.64728274
17	69.28546651
18	68.52507594
19	67.1889905
20	65.54435113
21	64.35442919
22	63.16513431
23	62.03797656
24	60.87839977
25	59.50319187
26	58.30219949
27	57.24549077
28	56.25657878
29	55.23155099
30	54.13972479
31	53.18746984
32	52.24895722
33	51.05136954
34	50.07491096
35	49.0959835
36	48.25736388
37	47.48393786
38	46.60208917
39	45.51778587
40	44.60849779
41	43.76575206
42	42.98121915
43	42.49025124
44	41.51531503
45	41.04884192
46	40.3605464
47	39.43293791
48	38.62665512
49	37.85263632
50	36.98839487
51	36.59473347
52	35.92010756
53	35.41745442
54	34.75381754
55	34.14939161
56	33.53946983
57	32.76405314
58	32.13005734
59	31.55114887
60	31.21706721
61	30.89435446
62	30.54151524
63	29.92105278
64	29.41030031
65	28.87370763
66	28.55582054
67	28.06409485
68	27.54485269
69	27.13282749
70	26.84380933
71	26.54926823
72	26.05597025
73	25.6071866
74	25.32375531
75	25.05206225
76	24.78504059
77	24.32768914
78	24.07350398
79	23.81566495
80	23.41063115
81	23.17502233
82	22.66169593
83	22.24613565
84	22.01197701
85	21.75553852
86	21.41442793
87	21.16402929
88	20.80097328
89	20.5753945
90	20.24947469
91	19.93863271
92	19.63482359
93	19.43470726
94	19.0896079
95	18.67393668
96	18.39207381
97	18.20823611
98	18.02094675
99	17.65277301
100	17.38354479
101	17.23746457
102	17.0753596
103	16.76460178
104	16.60932825
105	16.34247794
106	16.00239033
107	15.83315287
108	15.66035754
109	15.50792809
110	15.3548082
111	15.19697909
112	15.04600496
113	14.83356902
114	14.68295581
115	14.5401648
116	14.38940899
117	14.25195067
118	14.13033171
119	14.00978768
120	13.88131758
121	13.60904234
122	13.48753856
123	13.36626279
124	13.07608109
125	12.83604155
126	12.54444095
127	12.26598471
128	12.15025094
129	12.04103698
130	11.91271395
131	11.80366914
132	11.69649489
133	11.58918728
134	11.4825073
135	11.37589339
136	11.27607381
137	11.03276866
138	10.91774534
139	10.81741254
140	10.59548087
141	10.50559782
142	10.41346931
143	10.21057452
144	10.12244951
145	10.03615771
146	9.824999241
147	9.732264292
148	9.649200179
149	9.569806579
150	9.482725693
151	9.40469255
152	9.32687866
153	9.252687999
154	9.180083699
155	9.104442012
156	9.032804178
157	8.958316695
158	8.781138408
159	8.711139022
160	8.643733984
161	8.575801657
162	8.511607941
163	8.444427281
164	8.26751452
165	8.205063901
166	8.143874452
167	8.082442862
168	8.020251603
169	7.959674561
170	7.902916717
171	7.845215592
172	7.787886614
173	7.732071268
174	7.675670814
175	7.623471858
176	7.569184691
177	7.427489601
178	7.377601937
179	7.326554043
180	7.278902106
181	7.150735484
182	7.101655748
183	7.054973632
184	7.008505446
185	6.962457817
186	6.827336846
187	6.783487813
188	6.653655091
189	6.607302079
190	6.489783021
191	6.44895834
192	6.404835562
193	6.361377889
194	6.322021954
195	6.195429057
196	6.157980668
197	6.119702273
198	6.082906022
199	5.97276787
