iter	Passed	Remaining
0	1	289
1	2	255
2	3	255
3	4	244
4	6	238
5	7	229
6	8	225
7	9	223
8	10	218
9	10	201
10	11	201
11	12	199
12	13	197
13	14	196
14	16	198
15	17	198
16	18	196
17	19	195
18	20	193
19	21	193
20	22	191
21	23	190
22	24	187
23	24	181
24	25	181
25	26	180
26	28	182
27	29	181
28	30	178
29	31	177
30	32	176
31	33	176
32	34	175
33	35	175
34	37	175
35	38	174
36	39	173
37	40	173
38	42	173
39	43	173
40	44	172
41	45	172
42	47	171
43	48	170
44	49	170
45	50	169
46	51	168
47	52	167
48	54	166
49	55	165
50	56	164
51	57	164
52	58	163
53	60	162
54	61	161
55	62	160
56	63	159
57	64	158
58	65	156
59	66	155
60	67	154
61	68	152
62	69	151
63	70	150
64	71	148
65	72	147
66	73	146
67	74	145
68	76	144
69	76	142
70	77	140
71	78	139
72	79	138
73	80	137
74	81	136
75	82	135
76	83	133
77	84	132
78	85	131
79	87	130
80	87	128
81	88	128
82	90	127
83	91	126
84	92	125
85	93	124
86	94	123
87	95	121
88	96	120
89	97	119
90	98	117
91	99	116
92	100	115
93	101	114
94	102	112
95	103	111
96	104	110
97	105	109
98	105	108
99	107	107
100	108	105
101	108	104
102	109	103
103	111	102
104	111	101
105	112	99
106	113	98
107	114	97
108	115	96
109	116	95
110	117	94
111	118	92
112	119	91
113	120	90
114	120	89
115	121	88
116	122	86
117	123	85
118	124	84
119	124	83
120	125	82
121	126	81
122	127	80
123	128	79
124	130	78
125	131	76
126	131	75
127	133	74
128	134	73
129	135	73
130	137	72
131	138	71
132	139	70
133	140	69
134	142	68
135	143	67
136	144	66
137	145	65
138	147	64
139	148	63
140	149	62
141	150	61
142	151	60
143	152	59
144	153	58
145	154	57
146	155	56
147	157	55
148	158	54
149	159	53
150	161	52
151	162	51
152	163	50
153	164	49
154	165	47
155	166	46
156	167	45
157	168	44
158	169	43
159	170	42
160	171	41
161	172	40
162	173	39
163	174	38
164	176	37
165	177	36
166	178	35
167	179	34
168	180	33
169	181	32
170	182	30
171	183	29
172	184	28
173	185	27
174	186	26
175	187	25
176	188	24
177	189	23
178	191	22
179	192	21
180	193	20
181	194	19
182	195	18
183	196	17
184	197	16
185	198	14
186	199	13
187	200	12
188	201	11
189	202	10
190	203	9
191	204	8
192	205	7
193	206	6
194	207	5
195	208	4
196	209	3
197	210	2
198	211	1
199	212	0
